,section,question,answer,views,link
0,Молия ва тижорат,Фитр садақа миқдори қанча?  Пул ҳисобида берса бўладими? Раҳмат.,Ва алайкум ассалом!Киши бошига 2 кило буғдой ёки унинг қиймати берилади.,1875,https://savollar.islom.uz/s/35063
1,Долзарб саволлар,"Шунча рўза тутиб, охирги 3 кун қолганида қаттиқ асабийлашганим учун очиб юбордим. Ўшандан бери афсус қилиб ҳалиям ўзимга келолмай юрибман. Илтимос Аллоҳ учун менга ёрдам беринглар. Ҳайитдан кейн 6 кунли рўза тутишни жуда хоҳлаган эдим, нима қилай, 6 кунли рўзага қўшиб, яна 2 кунни тутиб берсам бўладими? Жавобингиз учун Аллоҳ рози бўлсин.","Ва алайкум ассалом!""Излаш хизмати""га “рўзанинг каффорати” деб ёзинг.",1870,https://savollar.islom.uz/s/35062
2,Оила ва турмуш,Ассалому алайкум устозлар. Саволим шуки. Худога шукур мeн яқинда намоз ўқиб бошладим. Лeкин мeн билан оила қуришга аҳду паймон қилган қиз намоз ўқимайди. Қизни ота онаси эрга тeкканингдан кeйин эринг рухсат бeрса намоз ўқийсан дeйишди. Худо хоҳласа биз оила қурсак бўладими? У қиз аёлим бўлганидан кeйин намоз ўқий бошласа ҳам бўлавeрадими? Аёлим намоз ўқиб муслима бўлгунига қадар бизнинг никоҳимизга путур eтмайдими? Илтмос мeнга тушунча бeринглар. Аллоҳ сизлардан рози бўлсин.,"Ва алайкум ассалом!Шариатимизда муносиб умр йўлдошни танлаш ҳақида етарли тавсиялар бор. Шунга биноан авваламбор дини яхши бўлганини танлаган маъқул. Намоз ўқиш ҳар бир мўмин мусулмонга фарзи айн бўлгани сабаб, уни бирор муносабатга боғлаш эмас, балки зудлик билан ўқиш керак бўлади. Никоҳингизга путур етмайди.",2231,https://savollar.islom.uz/s/35061
3,Долзарб саволлар,"Бу саволимни қидирувдан нима деб қидиришни билмадим. Арабистонда, Туркия, Азербайджан, ҳатто Россияда 5-июль ҳайит белгиланибди. Бизда эса 6-июль. Саволим: Санаб утган давлатлар билан орамиз кўпида 2 соат, 1 суткалик эмас. Нега энди байрамни 2 хил вақтда нишонлаймиз? Жавоб учун олдиндан катта раҳмат.","Ва алайкум ассалом!Расулуллоҳ соллаллоҳу алайҳи васаллам “Ойни кўриб рўза тутинглар, ойни кўриб рўзани очинглар(байрам қилинглар)” деганлар. Шунга амал қилнмас экан, ихтилофлар бўлаверади.",2052,https://savollar.islom.uz/s/35060
4,Оила ва турмуш,Ота-онанинг ўғлига фақирлиги учун қилинган оқ ўтадими?,Ва алайкум ассалом!Саволингизни тушунарлироқ қилиб беринг.,2376,https://savollar.islom.uz/s/35059
5,Ибодатлар,Ҳурматли устозлар. Билишимча Қуръони каримни араб тилида ўқиш кeрак экан. Мeн араб тилини билмайман. Энди мeн Қуръонни ўзбeк тилидаги элeктрон дарслигини ўқисам ва бундан савоб умид қилсам бўладими? Жавоб учун раҳмат. Аллоҳ илмингизни зиёда қилсин.,Ва алайкум ассалом!http://savollar.islom.uz/savol/22608,1922,https://savollar.islom.uz/s/35058
6,Молия ва тижорат,Закот ва эҳсон  бир нарсами ёки уларни фарқи борми? Жавоб учун раҳмат.,"Ва алайкум ассалом!Фарқи бор. Закот – Аллоҳ таоло фарз қилган ибодат. Бизда эҳсон деб аталадиган амал бўлиб, ихтиёрий садақага айтилади.",1735,https://savollar.islom.uz/s/35057
7,Ҳадислар,"Олдинги жавоб учун раҳмат Аллоҳ рўзи бўлсин, яна саволим бориди. Масжидда имом чўзиб намоз ўқиши дурустми? Биз ёшлар Алҳамдуллилаҳ қанча ўқилса ҳам чидаймиз. Имомни ёмонлаш эмас, тажвид нималигини асло билмайди қиротидан одам безиллайди, камига чўзади. Холибуки қариялар, кассалар ва ёшлар бор. Бир ҳадисда “масжидда малоли қавм қилиб намоз ўқиманг, намозни енгил ўқинг” дейилипти. Шу ҳадис саҳиҳми?2-савол. “чоркитоб”да “агар азонни 10 калимасига адашса, диндан чиқиш хавфи бор” деб ўқидим. Домлалар бизга тушунтирарди, шуни тўлиқ тушунтирсангиз.3-савол. Намозни ичидаги фарз, вожиб, сунат, муҳарамот, муфсидот, макруҳ ва шу кабиларни билмаса намоз дуруст бўлмайди деб ўқидим. Шу тўғрими?","Ва алайкум ассалом!1). Бундай кишининг орқасида намоз ўқимаслик керак. Чунки тажвидни билмаган киши қироатни бузиб қўяди. Ундай кишиларни оми дейилади. Тўғри ўқий оладиганлар унинг орқасида иқтидо қилишлари мумкин эмас.2). http://fiqh.uz/index.php/ibodat/namoz/333-azon-va-takbir3). Тездан ўрганиш шарт, лекин ўргангунича ўқиса жоиз.",2048,https://savollar.islom.uz/s/35056
8,Долзарб саволлар,"Мана нeча кундирки ҳар куни бамдод намозига туришга ҳаракат қилиб, будилник қўяман. “Ҳозир тураман, 5-минут ётай, 10-минут ётай” деб ухлаб қоламан. Назаримда иймоним заифлашаётгандeк. Менга бир тўғри йўл кўрсатинглар. Иймонимни мустаҳкамлаш учун нима қилай?","Ва алайкум ассалом! Бирор инсоннинг панду насиҳатини эшитинг. عَنْ أَبِي أُمَامَةَ ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ : "" أَنَّ لُقْمَانَ قَالَ لابْنِهِ : يَا بُنَيَّ ، عَلَيْكَ بِمَجَالَسَةِ الْعُلَمَاءِ ، وَاسْتِمَاعِ كَلامِ الْحُكَمَاءِ ، فَإِنَّ اللَّهَ عَزَّ وَجَلَّ يُحْيِي الْقُلُوبَ بِنُورِ الْحِكْمَةِ كَمَا يُحْيِي الأَرْضَ بِوَابِلِ الْمَطَرِ Абу Умома розияллоҳу анҳудан ривоят қилинади:""Набий соллаллоҳу алайҳи васаллам : “Луқмон ўз ўғлига : “Эй ўғилчам, уламолар билан мажлисдош бўлишни, ҳукамоларнинг сўзларига қулоқ тутишни ўзинга лозим тут. Чунки Аллоҳ таоло ерни ёмғир суви билан тирилтирганидек қалбларни ҳикмат нури билан тирилтиради” деди” деганлар"". (“Мўъжамул кабир” Табароний ривояти).",2003,https://savollar.islom.uz/s/35055
9,Долзарб саволлар,"Тор кўчада машинада кетаётган эдим. Шу вақт  олдимдан қўй подаси чиқди. Подачи йўқ эди. Мен подани ўтиб кетишин кутиб турдим. Пода ўтиб кетгандан кейин юра бошладим. Аммо битта куй утмасдан машинам остида колиб кетган экан, мен бундан бехабар юра бошладим. Озгина юргандан сунг йул четида турган одам мени тухтатиб куй босиб утганимни айтди. Машинадан тушиб карасам куйни хакикатдан хам босган эканма ва кон чикан экан. Шу атрофдаги одам куйни калласини пичок билан кесиб ташлади. Мен куйни эгасини кутим лекин келмади. Шундан сунг бир танишимга тайинлаб куйни эгаси келса менга хабар беришин тайинлаб кетим. Танишим хам эгасини кутиб келмаганидан кейин кетган. Мен бундай холатда нима килишим керак?",Ва алайкум ассалом!Эгасини топиб рози қилишингиз шарт.,2328,https://savollar.islom.uz/s/35054
