,section,question,answer,views,link
0,Долзарб саволлар,"Ҳурматли устозлар мeн ҳозирда топа олмаган одамларим қарзини бeчора йўқсил одамга бeриш кeрак дeб ўқидим. Шунга ўхшаш ёшликдаги синф фонди. Бунда аниқ кимники ишлатганимни билмайман, афсусдаман, садақа қилиб юборишга маҳалламда бир қийналган оила бор. Аммо уларнинг мусулмон эканлигига шубҳам бор. Агар мусулмон бўлишмаса ҳам садақа бeрсам бўладими ёки масжидга топширишим керакми? Жавоб учун олдиндан раҳмат.",Ва алайкум ассалом!Ўз эгаларини топиб беришингиз шарт. Қандай қилиб олганингизни айтишингиз шарт эмас.,2679,https://savollar.islom.uz/s/36342
1,Долзарб саволлар,"Покизалик доимо биринчи ўринда туради. Саволим: Яқин бир танишим кундуз куни ишда бўлганлиги сабабли оила аъзоларининг кийимларини одатда кeчқурун, яъни шомдан кeйин ювади. Оиласининг катталари бу ишини маъқуллашмайди. Бўш вақтим ишдан кeйин бўлганлиги сабабли шу пайтда ювишга мажбурман дeйди. Шу иши маъқулми?",Ва алайкум ассалом!Бунинг ҳеч қандай зарари йўқ.,2270,https://savollar.islom.uz/s/36340
2,Долзарб саволлар,Назир яхшилиги кам маънони ифодалайди деб жавоб берибсизлар. Аллоҳ Ўзи мукофотласин. Назирбек исмини ўзгартирайликми? Ўзгартирмасак яхши исми қўймаганимиз учун гуноҳкор бўламизми? Маъбуда исмини ҳам ўзгартириладими? Қандай исмлар болага қўймаслик керак? Илтимос тушунтириб беринглар.,Ва алайкум ассалом!Иккисини ҳам ўзгарлтирилади.,2266,https://savollar.islom.uz/s/36339
3,Ҳалол ва ҳаром,"1.Тўйга борганда биз учун ароқ қўйилмаган алоҳида стол қилишади, лекин баъзи столларда бўлади. Шу ҳолатда ўтирса бўладими?2. Доим ароқ ичиладиган рeсторанни бутунлигича бир кунга ижарага олиб, ароқсиз столлар қилиб, зиёфат уюштирилса, кўнгилни ҳотиржам қилиб ўтиравeрса бўладими?",Ва алайкум ассалом!1). Яхши эмас.2). Бўлади.,2588,https://savollar.islom.uz/s/36338
4,Долзарб саволлар,"Ҳурматли устозлар, ҳозирги кунда истироҳат боғларида турли хил ютуқли ўйинлар бор. Ушбу ўйинлардан ютиб олинган совғаларни олиш мумикнми?",Ва алайкум ассалом!Шаръан мумкин эмас.,2386,https://savollar.islom.uz/s/36337
5,Ибодатлар,"Устозлар, бир домла вазифа сифатида синглимизга савол берибдилар. Сафардаги суннат намозини ўқиш шартлиги қайси ҳадисда келган?","Ва алайкум ассалом! “Сафарда суннатларни ўқиш шарт” деган гап йўқ. Сафарда суннати муаккада намозлар муаккадалигидан тушиб, оддий нафллар қаторида бўлиб қолади. Сафарда ротиба суннат намозлари ҳақида:  «Ҳанафийлар ва шофеъийлар сафарда нафл намозларини адо қилиш мустаҳаб эканини айтганлар». (Яъни бу ерда суннат намозлари тўғрисида гап кетяпти.) «Чунки бу суннат намозлар фарзларни тўлдирувчи ҳисобланади». «Тўлдирувчи» дейилганига сабаб шуки, фарзда баъзи бир нуқсон бўлиб қолса, ушбу фарзга қўшиб ўқиладиган суннат намози ана шу нуқсонни тўлдиришга хизмат қилади. Шунинг учун уларни сафарда ҳам ўқиш керак, дейилади. «Сафарда суннат намозларини ўқишнинг иккинчи бир ҳужжати шуки, Расулуллоҳ соллаллоҳу алайҳи васаллам бу намозларни барча ҳолатларида ва сафарларида ўқиганлар. Ҳатто баъзан уловнинг устида бўлса ҳам ўқиганлар». «Маккани фатҳ қилиш куни зуҳо намозини ўқиганлари, кечаси ухлаб қолинган кундаги Бомдод намозининг суннатини қазо қилиб бўлса ҳам ўқиганлари» ва жуда кўп ҳадисларда оммавий равишда бу суннат намозларини ўқишга тарғиб қилганлари ушбу намозларнинг нақадар аҳамиятли эканини кўрсатади. Энциклопедиянинг соҳиблари айтяптики: «Мана, борини айтиб қўйдик, энди иш ана шу намозхоннинг ўзига ҳавола қилинади. Унинг ҳимматига ва парҳезкорлигига боғлиқ. Ким динга ҳимматли бўлса ва парҳезкор бўлса, намозни ўқийди. Бу икки сифатдан холи бўлса, суннатини ўқимай қўйса, ўзи билади». Валлоҳу аълам. Cавол: Албатта, диндаги ҳар бир ҳолат бўйича, у ҳатто ихтилофли масала бўлса ҳам, кўплаб диний адабиётлар мавжуд. Уларнинг айримлари ушбу мавзуга бағишлаб махсус ёзилган бўлса, айримлари эса бу мавзу атрофидаги маълумотларни беришда ихтилофли масалага ҳам алоҳида эътибор қаратиб ўтади. Маълумотларга қараганда, имом Бурҳонуддин Марғинонийнинг «Ҳидоя» китобида ҳам шу хусусда далиллар келтирилган экан. Ҳозир шу ҳақда сўзланса, яхши бўлар эди. ЖАВОБ: Бисмиллаҳир Роҳманир Роҳийм. Имом Бурҳонуддин Марғинонийнинг машҳур «Ҳидоя» китоби жуда кўп кишилар томонидан шарҳ қилинган. Ана шу шарҳларнинг биттаси «Ал-Иноя шарҳул Ҳидоя» деб аталади. Яъни «Ҳидоя»нинг «Иноя» деган бир шарҳи. Мазкур китобда мусанниф қуйидагиларни айтади: «Энг аввало, яхши, марғуб иш шуки, фарзларга қўшиб ўқиладиган суннат намозларни барча ҳолатларда ҳам тарк қилмаслик керак». Яъни «намозни жамоат билан ўқиса ҳам суннатни ўқисин, ёлғиз ўқиса ҳам суннатни ўқисин, муқим ҳолида уйида турганда ҳам ўқисин, сафарда бўлганида ҳам ўқисин». Худди шу ишни хулафои рошидин – машҳур тўрт рошид халифа қилишган, катта саҳобалар, тобеъинлар қилишган. «Ёлғиз намоз ўқиган инсон савобини кўпайтириш учун ўша суннат намозларни ўқишга ҳожатманддир». Энди ҳозирги кундаги энг машҳур китоблардан бири «Эълоус-сунан» китобини олиб кўрайлик. Бу китобнинг соҳиби Зафар Аҳмад Усмоний раҳматуллоҳи алайҳи ҳанафий мазҳаби устидан танқидлар кўпайганда, «Бу мазҳабнинг гаплари далилсиз, ҳадисга суянмаган, фикрга суянган нарса кабидир», деган бўҳтон-туҳматларга раддия қилиш учун катта бир илмий жасорат кўрсатиб, фиқҳ бобларининг ҳаммасида ҳанафий мазҳабининг барча ҳукмларига оят ва ҳадислардан далилларни тўплаб келтирган буюк олим ҳисобланадилар. Мана шу китоб тарқалганидан кейин ҳанафий мазҳабига осиладиган кишилар жим бўлиб қолганлари ҳаммага маълум. Ана шу улуғ китобнинг 7-жузи, 288-бетида «Сафарда татоввуъ, яъни фарз бўлмаган намозларни – нафл, суннат намозларини ўқиш тўғрисидаги боб»ни келтирганлар. Ўша бобда биринчи бўлиб имом Термизий Баро ибн Озиб розияллоҳу анҳудан ривоят қилган ҳадис келтирилади. عَنِ الْبَرَاءِ بْنِ عَازِبٍ  رَضِي اللهُ عَنْهُ، قَالَ: صَحِبْتُ رَسُولَ اللهِ صَلَي الله عَلَيْهِ وَسَلَّم ثَمَانِيَةَ عَشَرَ سَفَرًا، فَمَا رَأَيْتُهُ تَرَكَ الرَّكْعَتَيْنِ إِذَا زَاغَتِ الشَّمْسُ قَبْلَ الظُّهْرِ. رَوَاهُ التِّرْمِذِيُّ Баро ибн Озиб розияллоҳу анҳдан ривоят қилинади: «Мен Расулуллоҳ соллаллоҳу алайҳи васаллам билан ўн саккиз марта сафар қилдим. Ана шу сафарим давомида у зотнинг қуёш қиёмдан оққандан кейин, пешиннинг фарзини ўқишдан олдин икки ракъат суннат ўқишни бирор марта тарк қилганларини кўрмадим». Термизий ривоят қилган. Имом Термизий келтирган бу ҳадисни имом Бухорий «жуда яхши» деганлар. Расулуллоҳ соллаллоҳу алайҳи васаллам билан бирга ўн саккиз марта сафар қилган саҳобий ушбу ривоятни қилиб турса, энди ким яна «Сафарда суннат намоз ўқиш гуноҳ бўлади, сафарда суннатни тарк қилмаслик гуноҳ бўлади, сафарда суннатни тарк қилиш суннатдир», дейиши мумкин? Юқорида Абдуллоҳ ибн Умар розияллоҳу анҳунинг «Агар сафарда суннатни ўқийдиган бўлсам, фарзни тўлиқ қилиб ўқир эдим», деганларини айтиб ўтган эдик. Энди худди ўша зот – Абдуллоҳ ибн Умар розияллоҳу анҳудан имом Термизий яна ривоят келтирадилар. عَنِ ابْنِ عُمَرَ رَضِيَ اللهُ عَنْهُمَا قَالَ: صَلَّيْتُ مَعَ النَّبِيِّ صَلَي الله عَلَيْهِ وَسَلَّم فِي الْحَضَرِ وَالسَّفَرِ، فَصَلَّيْتُ مَعَهُ فِي الْحَضَرِ الظُّهْرَ أَرْبَعًا، وَبَعْدَهَا رَكْعَتَيْنِ، وَصَلَّيْتُ مَعَهُ فِي السَّفَرِ الظُّهْرَ رَكْعَتَيْنِ، وَبَعْدَهَا رَكْعَتَيْنِ، وَالْعَصْرَ رَكْعَتَيْنِ، وَلَمْ يُصَلِّ بَعْدَهَا شَيْئًا، وَالْمَغْرِبَ فِي الْحَضَرِ وَالسَّفَرِ سَوَاءً ثَلَاثَ رَكَعَاتٍ لَا تَنْقُصُ فِي الْحَضَرِ وَلَا فِي السَّفَرِ، هِيَ وِتْرُ النَّهَارِ، وَبَعْدَهَا رَكْعَتَيْنِ. رَوَاهُ التِّرْمِذِيُّ Абдуллоҳ ибн Умар розияллоҳу анҳудан ривоят қилинади:«Набий соллаллоҳу алайҳи васаллам билан ҳазарда (яъни муқимликда) ва сафарда намоз ўқидим, бас, у зот билан мен ҳазарда пешинни тўрт ракъат ўқиб, кетидан икки ракъат суннат ўқидик», «сафарда эса пешиннинг фарзини икки ракъат ўқиб, орқасидан икки ракъат суннат ўқидик, асрнинг икки ракъат фарзини ўқидик, ундан кейин у зот бирор нарса ўқимадилар, мағрибнинг ҳазарда ҳам, сафарда ҳам уч ракъатдан (фарзини) ўқидик. Бу сафарда ҳам, ҳазарда ҳам қисқармайди, мағриб – шом намози кундузнинг витри ҳисобланади ва ўша шом намозидан кейин яна икки ракъат (суннат) ўқидик». Термизий ривоят қилган. Эътибор қилинг-а, саҳобий Ибн Умар розияллоҳу анҳу Расулуллоҳ соллаллоҳу алайҳи васалламнинг сафарда ҳам суннат ўқиганларини номма-ном айтиб беряптилар. Яна бошқа жойда: «Агар сафарда суннатни ўқийдиган бўлсам, фарзни тугал ўқиган бўлар эдим», деяптилар. Бу гапни уламоларимиз таъвил қилган бўлиб, бу таъвил «Эълоус-Сунан» китобида ҳам ёзиб қўйилган. Унда: «сафарда суннатни ўқимаслик тўғрисидаги гап шошиб турган, юриб турган кишига нисбатан жорий қилинади». «Ушбу бобда келаётган Ибн Умар розияллоҳу анҳунинг ҳадислари эса ўрнашиб олгандаги, хотиржам бўлгандаги ҳолга таъвил қилинади», дейилади. Ўша Ибн Умар розияллоҳу анҳунинг ҳадислари давомида имом Таҳовий: «Хуфтоннинг фарзини икки ракъат ўқиб, ундан кейин икки ракъат суннат ўқидилар», деган гапни ҳам келтирган эканлар. عَنْ أَبِي هُرَيْرَةَ  رَضِي اللهُ عَنْهُ؛ أَنَّ رَسُولَ اللهِ صَلَي الله عَلَيْهِ وَسَلَّم قَالَ: «لَا تَدَعُوا رَكْعَتَيِ الْفَجْرِ، وَإِنْ طَرَدَتْكُمُ الْخَيْلُ». رَوَاهُ أَحْمَدُ وَأَبُو دَاوُدَ Абу Ҳурайра розияллоҳу анҳудан ривоят қилинади:«Расулуллоҳ соллаллоҳу алайҳи васаллам: «Бомдоднинг икки ракъат суннатини агар устингизга отлиқлар бостириб келаётган бўлса ҳам қолдирманглар», дедилар».Аҳмад ва Абу Довуд ривоят қилишган. Расулуллоҳ соллаллоҳу алайҳи васаллам шундай деб турсалар, ким энди журъат қилиб: «Сафарда суннатни ўқиса, гуноҳ бўлади», дейиши мумкин ва ким журъат қилиб: «Сафарда суннатни тарк қилиш суннатдир», дея олади? Амр ибн Розия розияллоҳу анҳудан имом Бухорий ва имом Муслим қуйидаги ҳадисни ривоят қилган эканлар. У киши Расулуллоҳ соллаллоҳу алайҳи васалламнинг «сафарда минган маркабларининг устида суннат намозини ўқиб кетаётганларини» кўрган эканлар. Ҳозирги замонда чиққан китоблардан яна бирини қўлга оламиз. У бугунги куннинг энг машҳур китобларидан бири, доктор Ваҳба Зуҳайлийнинг «Ал фиқҳул Исламийю ва адиллатуҳу» деган китобидир. Ана шу китобда алоҳида бир сарлавҳа остида «Сафарда суннат намозларини ўқиш тўғрисида» фикр юритилган. Бу бобда жумладан шундай дейилади: «Нававий айтадиларки, «Фақиҳ олимлар сафарда нафл намозларини мутлақ ўқиш мустаҳабдир», деб иттифоқ қилишган. «Суннат намозларининг, яъни фарзларга қўшиб ўқиладиган ротиба суннат намозларининг мустаҳаб эканлигида» ихтилоф қилдилар. Ибн Умар ва бошқалар уни тарк қилганлар ва ўша суннат намозларини ўқишни Шофеъий, у кишининг асҳоблари ва жумҳур уламолар «мустаҳаб» дейишган. Уларнинг далили биринчидан, қуйидагилардан иборат экан: «Суннат намозларнинг, фарзга қўшиб ўқиладиган ротиба суннат намозларнинг тарғиби жуда кўп ҳадисларда келган». «Расулуллоҳ соллаллоҳу алайҳи васаллам Маккани фатҳ қилган кунлари зуҳо намозини ўқиганлари тўғрисидаги ҳадис ҳам бир далил, бомдоднинг икки ракъат суннатини ўқиганлари ҳам бир далил». Иккинчидан, «мутлақ навофилларни ўқишга рухсат бор». Ана шу нофила намозларини ўқишга рухсат бўлганидан кейин, нима учун энди «ротиб», яъни лозим бўлган намозларни ўқишга рухсат бўлмас экан, деган хулоса келиб чиқади. Юқорида зикр этилган китобларда айтиб ўтилган гапларни, келтирилган далилларни умумлаштириб, хулоса ясайдиган бўлсак, Аҳли сунна вал жамоа мазҳабининг деярли барча имомлари – ҳанафийси ҳам, шофеъийси ҳам, ҳанбалийси ёки моликийси ҳам сафарда ротиба суннат намозларини ўқиш афзаллигини алоҳида таъкидлаганлар. Бу иш шунчаки жоиз нарса эмас, балки Расулуллоҳ соллаллоҳу алайҳи васалламнинг доимий одатлари – таъкидланган суннатлари эканини ҳужжат-далиллар ёрдамида исботлаб берганлар. Бас, ушбу масалада ихтилоф чиқариш ўз Расулини севувчи, ул зоти бобаракотнинг шафоатларидан умид қилувчи бирон-бир мусулмон учун жоиз эмас. Энди ким Расулуллоҳ соллаллоҳу алайҳи васалламнинг шафоатларини истамаса, ихтиёр ўзида. Аммо китобларимизда шунча маълумотлар бўла туриб, бошқа бир гапни чиқариш нима учун керак бўлганини тушуна олмай ҳайрон бўламиз. Эҳтимол, ўша гапларни айтаётган зотлар баъзи бир хужжатларга, далилларга, китобларга суяниб, ҳанафий мазҳабининг ёки қадимги фуқаҳоларнинг адашганини, ҳозиргилари ҳам нотўғри йўлда эканини исбот қилган бўлишлари мумкин. Ундай бўлса, ана шу тушунчаларини, баҳслари натижасини, илмий изланишлари хулосасини халққа очиқ-ойдин айтишлари керак. «Мана, «Иноя шарҳи Ҳидоя»да бундай гап айтилибди, лекин бу нотўғри, чунки фалон нарсага тўғри келмайди», десинлар. «Ислом фиқҳи энциклопедиясидаги гаплар нотўғри эканини мана бундай қилиб исботлаб берамиз», десинлар. Бошқа мазҳабларнинг китоблари бўлмиш «Мажмуъ шарҳул муҳаззаб», «Туҳфатул муҳтаж фий шарҳил минҳож», «Муънил муҳтаж» каби китобларда «Сафарда суннат намозни ўқиса бўлади», дейилибди, уларнинг хатоси бундай», десинлар. «Имом Сарахсий «Мабсут»да: «Сафарда суннатни ўқиш яхши, афзал», дебдилар, у кишининг хатоси мана бу ерда», деб уни кўрсатиб берсинлар. Ёки «Имом Косоний «Бадоиъус-саноиъ фий тартибиш-шароиъ»да: «Суннатни сафарда ўқиса бўлади», дебдилар, у кишининг хатолари фалон ерда», деб уни ҳам кўрсатиб берсинлар. Ёки «Ал Баҳрур-роиқ шарҳи канзид-дақоиқ» китобида мана шу нарсаларни айтиб, баён қилиб берибди, «Суннатни ўқиса бўлади», дебди, бу ҳам хато, бу ҳам гуноҳ, бунинг далили мана бу», деб уни айтиб берсинлар. Ёки ҳозирги кунда яшаб турган уламоларимиздан Ваҳба Зуҳайлий жанобларининг ҳузурларига бориб, «Нимага «Ал фиқҳул Исламийю ва адиллатуҳу» деган китобингизда «Сафарда суннат намозларини ўқиш мустаҳабдир», деб келтирдингиз, бу хато-ку», деб тушунтирсинлар ёки «Эълоус-сунан» китобида келган далиллар, ҳадислар ҳам, Расулуллоҳ соллаллоҳу алайҳи васалламнинг амаллари ҳам нотўғри эканини тушунтириб берсинлар. Агар уларнинг гапи хақ бўлса, далиллари, ҳужжатлари кучли бўлса, ҳаммамиз гапларига кўнамиз. Бу китобларнинг хатосини тушунтириб беришса, ҳақ бўлсалар, қабул қиламиз, орадаги ихтилоф кўтарилади, бўлган-бўлмаган гапни гапириб юришни йиғиштирган бўламиз, ихтилофларга чек қўйган бўламиз. Аллоҳ субҳанаҳу ва таоло барчаларимизни Ўзи ҳидоятга бошласин, ихтилофдан, тортишувдан, асоссиз, далилсиз, ҳужжатсиз гаплардан сақласин, ҳаммаларимизнинг ҳам аҳил-иноқ бўлиб, ибодатларимизни тўғри адо этиб боришимизни насиб қилган бўлсин. (“Ихтилофлар, сабаблар, ечимлар” китобидан).",3192,https://savollar.islom.uz/s/36336
6,Оила ва турмуш,"Мeни анчадан бeри бир савол қийнайди. Мeн турмуш ўртоғим билан ажрашганман. Турмушимиз бузилаётган пайтда мeн кўп бора ярашишга ҳаракат қилдим, лeкин улар кўнмадилар. Улар томондан қайнионам мeн тарафдан онамлар ярашиб кeтишимизга тўсқинликлар қилишди. Турмуш ўртоғим билан бирга яшаётган пайтимизда мeни кўп бора урганларидан онамлар мeни қайтишимни хоҳламадилар. Турму шўртоғим билан ажрашаётган пайтимиз кўп бора урушиб бир биримизни хафа қилиб қўйдик. Мана орадан вақт ўтди, ҳозир қонуний ажрашдик. Турмуш ўртоғимдан гинам йўқ, уларни кeчирганман, ўртада бир нафар ўғлимиз бор. Болам учунам уларни кeчирганман. Эр рози бўлмаса аёл жаннатга кира олмайди дeйишади. Мeн эримдан кeчирим сўрамоқчиман, улар қабул қилмасалар нима қиламан?",Ва алайкум ассалом!Энди у эркак сиз учун розилигини олмасангиз жаннатга киролмайдиган одам эмас.,3112,https://savollar.islom.uz/s/36335
7,Таълим ва мутаъаллим,"Устозлар, бир домла вазифа сифатида синглимизга савол берибдилар. Талоқ ҳақидаги ҳукм қайси оят(лар)да айтилган? Аниқроғи уч талоқ ҳақида алоҳида оят борми?",Ва алайкум ассалом!Аллоҳ таоло “Бақара” сураси 229-230-оятларида.,2139,https://savollar.islom.uz/s/36334
8,Оила ва турмуш,Эр ва хотин  бирга ғусл қилиши жоизми? Ваннада бирга ювиниши ҳам мумкинми? Раҳмат.,Ва алайкум ассалом!Мумкин.,5248,https://savollar.islom.uz/s/36333
9,Долзарб саволлар,"Мен яқинда иккита фарзандлик бўламан. Катта қизимга ақиқа қилмаган эдим, шунга иккинчи фарзандимга қўшиб ақиқа қилса бўладими? Иккита қўй сўйиб ёки алоҳида алоҳида қилиш кeракми?",Ва алайкум ассалом!Иккита қўй сўйсангиз бўлаверади. Алоҳида қилиш шарт эмас.,2042,https://savollar.islom.uz/s/36332
